Goal ,Objective,Methodology ,Organisation,Project ,Date,Total_EUR,EUR_2026,EUR_2025,EUR_2024,EUR_2023,EUR_2022,EUR_2021
Climate resilience,Blue carbon,Maximise solutions,Wetlands International ,Mangrove restoration guidelines ,2022,108391,,,,56891,51500,
Climate resilience,Blue carbon,Change status quo,Blue Marine Foundation ,"Using science, economics and policy to rapidly build the value of the ocean as a climate change solution.",2022,278242.5,,,,113985.7,164256.8,
Climate resilience,Blue carbon,Innovation,Whale & Dolphin Conservation ,Green Whale ,2022,136800,,,,68400,68400,
Climate resilience,Blue carbon,Innovation,Whale & Dolphin Conservation ,Green Whale: mobilising whales and dolphins as natural allies in Ocean recovery and the climate crisis.,2021,71875,,,,,,71875
Climate resilience,Climate vs biodiversity nexus ,Policy & litigation,Sue,Marine geoengineering ,2023,28750,,,28750,,,
Climate resilience,Climate vs biodiversity nexus ,Policy & litigation,HOME,Marine geoengineering ,2023,140845.1,,,140845.1,,,
Climate resilience,Climate vs biodiversity nexus ,Policy & litigation,CIEL ,Marine geoengineering ,2023,139150,,,139150,,,
Climate resilience,MPAs,Maximise solutions,Marilles ,Balearics as a world reference for marine conservation ,2022,300000,,,100000,100000,100000,
Climate resilience,MPAs,Maximise solutions,Save The Waves ,Improving the network of World Surf Reserves ,2022,95550,,,,,95550,
Climate resilience,MPAs,Change status quo,BirdLife Europe ,Securing the future of Ireland’s seabirds and their habitats,2023,242890,,,96720,146170,,
Climate resilience,MPAs,Maximise solutions,Save The Waves ,Anchor grant ,2023,1365000,227500,455000,455000,227500,,
Climate resilience,MPAs,Maximise solutions,Save The Waves ,Surf Protected Area Netowrks: The Azores Phase 2,2021,89104.47,,,,,,89104.47
Climate resilience,MPAs,Change status quo,Global Fishing Watch,Machine learning to pinpoint bottom trawling ,2021,300000,,,,,151367,148633
Climate resilience,Coastal community resiliece,Protection & well-being,Blue Ventures,"Thriving fish, Thriving fishers ",2022,483218.5,,,243001.9,240216.6,,
Climate resilience,Restoration & management ,Policy & litigation,IFAW,Reducing shark and ray mortality in Latin America through trade regulation and enforcement,2022,187540,,,,93770,93770,
Climate resilience,Restoration & management ,Maximise solutions,Shark Conservation Fund ,Shark Biodiversity Initiative: Turning the Tide on Ocean Biodiversity Loss,2022,546000,,,182000,182000,182000,
Climate resilience,Restoration & management ,Change status quo,Open Seas,"To end the damage caused by reckless fisheries and promote low impact, small scale and sustainable alternatives.",2022,155250,,,51750,51750,51750,
Climate resilience,Restoration & management ,Policy & litigation,WWF EPO,Bring Back Life ,2022,150000,,,37500,37500,75000,
Climate resilience,Restoration & management ,Maximise solutions,Doggerland ,Dogger Bank restoration and justice ,2023,375000,100000,125000,150000,,,
Climate resilience,Restoration & management ,Change status quo,WWF Netherlands,Rewilding the North Sea: restoring habitats for sharks and rays,2021,115000,,,,,,115000
Climate resilience,Restoration & management ,Maximise solutions,ZSL,"To restore European native oyster habitat and with it, the biodiverse community of associated organisms and local cultural heritage, contributing to ocean recovery.",2021,166100.25,,,,,,166100.25
Climate resilience,MPAs,Policy & litigation,Blue Marine Foundation ,Anchor grant - Legal Team ,2023,724500,,241500,241500,241500,,
Climate resilience,Other,Raise profile,Captain Planet Foundation,Ocean Heroes Network ,2021,29120,,,,,,29120
Climate resilience,Other,Other,Royal Geographical Society ,Weddell Sea Part 2 - Education,2021,52572.25,,,,,,52572.25
